# ------------------------------------------------------------------------------
# This file is part of a Docalist plugin.
#
# Copyright (C) 2012-2015 Daniel Ménard
#
# For copyright and license information, please view the
# LICENSE file that was distributed with this source code.
#
# @author Daniel Ménard <daniel.menard@laposte.net>
# ------------------------------------------------------------------------------
#
# ------------------------------------------------------------------------------
# relators.txt
#
# Ce fichier a été généré automatiquement à partir des données RDF disponibles
# à l'adresse http://id.loc.gov/vocabulary/relators
#
# Licence : "The Library of Congress has prepared this vocabulary terminology
#            system and is making it available as a public domain data set".
#
# Date de génération : 18/02/2015 17:56:14
#
# La table est triée par codes croissants. Les non-descripteurs (les entrées 
# qui n'ont pas de code) apparaissent juste après le descripteur auquel ils 
# sont rattachés (cf. script lc-autorithy.php).
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HS
mod;Moderator;;;;;"A performer contributing to a resource by leading a program (often broadcast) where topics are discussed, usually with participation of experts in fields related to the discussion";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
mon;Monitor;;;;;"A person or organization that supervises compliance with the contract and is responsible for the report and controls its distribution. Sometimes referred to as the grantee, or controlling agency";;"2013-05-15:modified
1970-01-01:new"
mrb;Marbler;;;;;"The entity responsible for marbling paper, cloth, leather, etc. used in construction of a resource";;"2013-05-15:modified
1970-01-01:new"
mrk;"Markup editor";;;;;"A person or organization performing the coding of SGML, HTML, or XML markup of metadata, text, etc.";;"2013-05-15:modified
1970-01-01:new"
;Encoder;mrk;;;;;;
msd;"Musical director";;;;;"A person who coordinates the activities of the composer, the sound editor, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
mte;Metal-engraver;;;;;"An engraver responsible for decorations, illustrations, letters, etc. cut on a metal surface for printing or decoration";;"2013-05-15:modified
1970-01-01:new"
mtk;"Minute taker";;;;;"A person, family, or organization responsible for recording the minutes of a meeting";;"2014-02-06:Added in RDA and MARC
2013-05-15:new"
mus;Musician;;;;;"A person or organization who performs music or contributes to the musical content of a work when it is not possible or desirable to identify the function more precisely";;"2013-05-15:modified
1970-01-01:new"
nrt;Narrator;;;;;"A performer contributing to a resource by reading or speaking in order to give an account of an act, occurrence, course of events, etc";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
opn;Opponent;;;;;"A person or organization responsible for opposing a thesis or dissertation";;"2013-05-15:modified
1970-01-01:new"
org;Originator;;;;;"A person or organization performing the work, i.e., the name of a person or organization associated with the intellectual content of the work. This category does not include the publisher or personal affiliation, or sponsor except where it is also the corporate author";;"2014-02-06:added to RDA
2014-02-06:Changed MARC term and definition
2013-05-15:modified
1970-01-01:new"
orm;Organizer;;;;;"A person, family, or organization organizing the exhibit, event, conference, etc., which gave rise to a resource";"changed MARC term and def";2013-05-15:new
;"Organizer of meeting";orm;;;;;;
osp;"Onscreen presenter";;;;;"A performer contributing to an expression of a work by appearing on screen in nonfiction moving image materials or introductions to fiction moving image materials to provide contextual or background information. Use when another term (e.g., narrator, host) is either not applicable or not desired";;2013-05-15:new
oth;Other;;;;;"A role that has no equivalent in the MARC list.";;"2013-05-15:modified
1970-01-01:new"
own;Owner;;;;;"A person, family, or organization that currently owns an item or collection, i.e.has legal possession of a resource";"Combined defs";"2014-02-05:Altered definition
2013-05-15:modified
1970-01-01:new"
;"Current owner";own;;;;;;
pan;Panelist;;;;;"A performer contributing to a resource by participating in a program (often broadcast) where topics are discussed, usually with participation of experts in fields related to the discussion";;2013-05-15:new
pat;Patron;;;;;"A person or organization responsible for commissioning a work. Usually a patron uses his or her means or influence to support the work of artists, writers, etc. This includes those who commission and pay for individual works";;"2013-05-15:modified
1970-01-01:new"
pbd;"Publishing director";;;;;"A person or organization who presides over the elaboration of a collective work to ensure its coherence or continuity. This includes editors-in-chief, literary editors, editors of series, etc.";;"2013-05-15:modified
1970-01-01:new"
pbl;Publisher;;;;;"A person or organization responsible for publishing, releasing, or issuing a resource";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
pdr;"Project director";;;;;"A person or organization with primary responsibility for all essential aspects of a project, has overall responsibility for managing projects, or provides overall direction to a project manager";;"2013-05-15:modified
1970-01-01:new"
pfr;Proofreader;;;;crr;"A person who corrects printed matter. For manuscripts, use Corrector [crr]";;"2013-05-15:modified
1970-01-01:new"
pht;Photographer;;;;;"A person, family, or organization responsible for creating a photographic work";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
plt;Platemaker;;;;;"A person, family, or organization involved in manufacturing a manifestation by preparing plates used in the production of printed images and/or text";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
pma;"Permitting agency";;;;;"An organization (usually a government agency) that issues permits under which work is accomplished";;"2013-05-15:modified
1970-01-01:new"
pmn;"Production manager";;;;;"A person responsible for all technical and business matters in a production";;"2013-05-15:modified
1970-01-01:new"
pop;"Printer of plates";;;;;"A person or organization who prints illustrations from plates.";;"2013-05-15:modified
1970-01-01:new"
;"Plates, printer of";pop;;;;;;
ppm;Papermaker;;;;;"A person or organization responsible for the production of paper, usually from wood, cloth, or other fibrous material";;"2013-05-15:modified
1970-01-01:new"
ppt;Puppeteer;;;;;"A performer contributing to a resource by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
pra;Praeses;;;;;"A person who is the faculty moderator of an academic disputation, normally proposing a thesis and participating in the ensuing disputation";;2013-05-15:new
prc;"Process contact";;;;;"A person or organization primarily responsible for performing or initiating a process, such as is done with the collection of metadata sets";;"2013-05-15:modified
1970-01-01:new"
prd;"Production personnel";;;;;"A person or organization associated with the production (props, lighting, special effects, etc.) of a musical or dramatic presentation or entertainment";;"2013-05-15:modified
1970-01-01:new"
pre;Presenter;;;;;"A person or organization mentioned in an “X presents” credit for moving image materials and who is associated with production, finance, or distribution in some way.  A vanity credit;  in early years, normally the head of a studio";"includes one sentence from FIAF def";2013-05-15:new
prf;Performer;;;;;"A person contributing to a resource by performing music, acting, dancing, speaking, etc., often in a musical or dramatic presentation, etc. If specific codes are used, [prf] is used for a person whose principal skill is not known or specified";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
prg;Programmer;;;;;"A person, family, or organization responsible for creating a computer program";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
prm;Printmaker;;;;;"A person or organization who makes a relief, intaglio, or planographic printing surface";;"2013-05-15:modified
1970-01-01:new"
prn;"Production company";;;;;"An organization that is responsible for financial, technical, and organizational management of a production for stage, screen, audio recording, television, webcast, etc.";;"2014-02-04:Altered definition
2013-05-15:new"
pro;Producer;;;;;"A person, family, or organization responsible for most of the business aspects of a production for screen, audio recording, television, webcast, etc. The producer is generally responsible for fund raising, managing the production, hiring key personnel, arranging for distributors, etc.";"Changed MARC def";"2014-02-04:Altered definition
2013-05-15:modified
1970-01-01:new"
prp;"Production place";;;;;"The place of production (e.g., inscription, fabrication, construction, etc.) of a resource in an unpublished form";;"2013-05-15:modified
1970-01-01:new"
prs;"Production designer";;;;;"A person or organization responsible for designing the overall visual appearance of a moving image production";;2013-05-15:new
prt;Printer;;;;;"A person, family, or organization involved in manufacturing a manifestation of printed text, notated music, etc., from type or plates, such as a book, newspaper, magazine, broadside, score, etc";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
prv;Provider;;;;;"A person or organization who produces, publishes, manufactures, or distributes a resource if specific codes are not desired (e.g. [mfr], [pbl])";;"2013-05-15:modified
1970-01-01:new"
pta;"Patent applicant";;;;;"A person or organization that applied for a patent";;"2013-05-15:modified
1970-01-01:new"
pte;Plaintiff-appellee;;;;;"A plaintiff against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in a legal proceeding";;"2013-05-15:modified
1970-01-01:new"
ptf;Plaintiff;;;;;"A person or organization who brings a suit in a civil proceeding";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
pth;"Patent holder";;;;;"A person or organization that was granted the patent referred to by the item";;"2013-05-15:modified
1970-01-01:new"
;Patentee;pth;;;;;;
ptt;Plaintiff-appellant;;;;;"A plaintiff who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in a legal proceeding";;"2013-05-15:modified
1970-01-01:new"
pup;"Publication place";;;;;"The place where a resource is published";;"2013-05-15:modified
1970-01-01:new"
rbr;Rubricator;;;;;"A person or organization responsible for parts of a work, often headings or opening parts of a manuscript, that appear in a distinctive color, usually red";;"2013-05-15:modified
1970-01-01:new"
rcd;Recordist;;;;;"A person or organization who uses a recording device to capture sounds and/or video during a recording session, including field recordings of natural sounds, folkloric events, music, etc.";;"2013-05-15:modified
1970-01-01:new"
rce;"Recording engineer";;;;;"A person contributing to a resource by supervising the technical aspects of a sound or video recording session";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
rcp;Addressee;;;;;"A person, family, or organization to whom the correspondence in a work is addressed";"changed MARC term and def";"2014-02-05:Altered definition
2013-05-15:modified
1970-01-01:new"
;Recipient;rcp;;;;;;
rdd;"Radio director";;;;;"A director responsible for the general management and supervision of a radio program";;2013-05-15:new
red;Redaktor;;;;;"A person or organization who writes or develops the framework for an item without being intellectually responsible for its content";;"2013-05-15:modified
1970-01-01:new"
ren;Renderer;;;;;"A person or organization who prepares drawings of architectural designs (i.e., renderings) in accurate, representational perspective to show what the project will look like when completed";;"2013-05-15:modified
1970-01-01:new"
res;Researcher;;;;;"A person or organization responsible for performing research";;"2013-05-15:modified
1970-01-01:new"
;"Performer of research";res;;;;;;
rev;Reviewer;;;;;"A person or organization responsible for the review of a book, motion picture, performance, etc.";;"2013-05-15:modified
1970-01-01:new"
rpc;"Radio producer";;;;;"A producer responsible for most of the business aspects of a radio program";;2013-05-15:new
rps;Repository;;;;;"An organization that hosts data or material culture objects and provides services to promote long term, consistent and shared use of those data or objects";;"2013-05-15:modified
1970-01-01:new"
rpt;Reporter;;;;;"A person or organization who writes or presents reports of news or current events on air or in print";;"2013-05-15:modified
1970-01-01:new"
rpy;"Responsible party";;;;;"A person or organization legally responsible for the content of the published material";;"2013-05-15:modified
1970-01-01:new"
rse;Respondent-appellee;;;;;"A respondent against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding";;"2013-05-15:modified
1970-01-01:new"
rsg;Restager;;;;;"A person or organization, other than the original choreographer or director, responsible for restaging a choreographic or dramatic work and who contributes minimal new content";;"2013-05-15:modified
1970-01-01:new"
rsp;Respondent;;;;;"A person or organization who makes an answer to the courts pursuant to an application for redress (usually in an equity proceeding) or a candidate for a degree who defends or opposes a thesis provided by the praeses in an academic disputation";;"2013-05-15:modified
1970-01-01:new"
rsr;Restorationist;;;;;"A person, family, or organization responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition";;2013-05-15:new
rst;Respondent-appellant;;;;;"A respondent who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding";;"2013-05-15:modified
1970-01-01:new"
rth;"Research team head";;;;;"A person who directed or managed a research project";;"2013-05-15:modified
1970-01-01:new"
rtm;"Research team member";;;;;"A person who participated in a research project but whose role did not involve direction or management of it";;"2013-05-15:modified
1970-01-01:new"
sad;"Scientific advisor";;;;;"A person or organization who brings scientific, pedagogical, or historical competence to the conception and realization on a work, particularly in the case of audio-visual items";;"2013-05-15:modified
1970-01-01:new"
sce;Scenarist;;;;aus;"A person or organization who is the author of a motion picture screenplay, generally the person who wrote the scenarios for a motion picture during the silent era";"Revised MARC def";"2013-05-15:modified
1970-01-01:new"
scl;Sculptor;;;;;"An artist responsible for creating a three-dimensional work by modeling, carving, or similar technique";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
scr;Scribe;;;;fac;"A person who is an amanuensis and for a writer of manuscripts proper. For a person who makes pen-facsimiles, use Facsimilist [fac]";;"2013-05-15:modified
1970-01-01:new"
sds;"Sound designer";;;;;"A person who produces and reproduces the sound score (both live and recorded), the installation of microphones, the setting of sound levels, and the coordination of sources of sound for a production";;"2013-05-15:modified
1970-01-01:new"
sec;Secretary;;;;;"A person or organization who is a recorder, redactor, or other person responsible for expressing the views of a organization";;"2013-05-15:modified
1970-01-01:new"
sgd;"Stage director";;;;;"A person or organization contributing to a stage resource through the overall management and supervision of a performance";;2013-05-15:new
sgn;Signer;;;;;"A person whose signature appears without a presentation or other statement indicative of provenance. When there is a presentation statement, use Inscriber [ins].";;"2013-05-15:modified
1970-01-01:new"
sht;"Supporting host";;;;;"A person or organization that supports (by allocating facilities, staff, or other resources) a project, program, meeting, event, data objects, material culture objects, or other entities capable of support";;"2013-05-15:modified
1970-01-01:new"
;"Host, supporting";sht;;;;;;
sll;Seller;;;;;"A former owner of an item who sold that item to another owner";;2013-05-15:new
sng;Singer;;;;;"A performer contributing to a resource by using his/her/their voice, with or without instrumental accompaniment, to produce music. A singer's performance may or may not include actual words";"Changed MARC def; Vocalist is deprecated and made reference";"2013-05-15:modified
1970-01-01:new"
;Vocalist;sng;;;;;;
spk;Speaker;;;;;"A performer contributing to a resource by speaking words, such as a lecture, speech, etc. ";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
spn;Sponsor;;;;;"A person, family, or organization sponsoring some aspect of a resource, e.g., funding research, sponsoring an event";"Changed MARC def";"2014-02-05:Altered definition
2013-05-15:modified
1970-01-01:new"
;"Sponsoring body";spn;;;;;;
spy;"Second party";;;;;"A person or organization who is identified as the party of the second part. In the case of transfer of right, this is the assignee, transferee, licensee, grantee, etc. Multiple parties can be named jointly as the second party";;"2013-05-15:modified
1970-01-01:new"
srv;Surveyor;;;;;"A person, family, or organization contributing to a cartographic resource by providing measurements or dimensional relationships for the geographic area represented";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
std;"Set designer";;;;;"A person who translates the rough sketches of the art director into actual architectural structures for a theatrical presentation, entertainment, motion picture, etc. Set designers draw the detailed guides and specifications for building the set";;"2013-05-15:modified
1970-01-01:new"
stg;Setting;;;;;"An entity in which the activity or plot of a work takes place, e.g. a geographic place, a time period, a building, an event";"Subject relationship";"2013-05-15:modified
1970-01-01:new"
stl;Storyteller;;;;;"A performer contributing to a resource by relaying a creator's original story with dramatic or theatrical interpretation";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
stm;"Stage manager";;;;;"A person who is in charge of everything that occurs on a performance stage, and who acts as chief of all crews and assistant to a director during rehearsals";;"2013-05-15:modified
1970-01-01:new"
stn;"Standards body";;;;;"An organization responsible for the development or enforcement of a standard";;"2013-05-15:modified
1970-01-01:new"
str;Stereotyper;;;;;"A person or organization who creates a new plate for printing by molding or copying another printing surface";;"2013-05-15:modified
1970-01-01:new"
tcd;"Technical director";;;;;"A person who is ultimately in charge of scenery, props, lights and sound for a production";;"2013-05-15:modified
1970-01-01:new"
tch;Teacher;;;;;"A performer contributing to a resource by giving instruction or providing a demonstration";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
;Instructor;tch;;;;;;
ths;"Thesis advisor";;;;;"A person under whose supervision a degree candidate develops and presents a thesis, mémoire, or text of a dissertation";;"2013-05-15:modified
1970-01-01:new"
;Promoter;ths;;;;;;
tld;"Television director";;;;;"A director responsible for the general management and supervision of a television program";;2013-05-15:new
tlp;"Television producer";;;;;"A producer responsible for most of the business aspects of a television program";;2013-05-15:new
trc;Transcriber;;;;"arr
fac";"A person, family, or organization contributing to a resource by changing it from one system of notation to another. For a work transcribed for a different instrument or performing group, see Arranger [arr]. For makers of pen-facsimiles, use Facsimilist [fac]";"Changed MARC def";"2013-05-15:modified
1970-01-01:new"
trl;Translator;;;;;"A person or organization who renders a text from one language into another, or from an older form of a language into the modern form";;"2013-05-15:modified
1970-01-01:new"
tyd;"Type designer";;;;;"A person or organization who designs the type face used in a particular item";;"2013-05-15:modified
1970-01-01:new"
;"Designer of type";tyd;;;;;;
tyg;Typographer;;;;bkd;"A person or organization primarily responsible for choice and arrangement of type used in an item. If the typographer is also responsible for other aspects of the graphic design of a book (e.g., Book designer [bkd]), codes for both functions may be needed";;"2013-05-15:modified
1970-01-01:new"
uvp;"University place";;;;;"A place where a university that is associated with a resource is located, for example, a university where an academic dissertation or thesis was presented";;"2013-05-15:modified
1970-01-01:new"
vac;"Voice actor";;;;;"An actor contributing to a resource by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice overs in radio and television commercials, dubbed resources, etc.";;"2014-02-05:Added in RDA and MARC
2013-05-15:new"
vdg;Videographer;;;;cng;"A person in charge of a video production, e.g. the video recording of a stage production as opposed to a commercial motion picture. The videographer may be the camera operator or may supervise one or more camera operators. Do not confuse with cinematographer";"In RDA included under Director of photography (i.e. cinematographer)";"2013-05-15:modified
1970-01-01:new"
wac;"Writer of added commentary";;;;;"A person, family, or organization contributing to an expression of a work by providing an interpretation or critical explanation of the original work";;"2014-02-05:Made subproperty of new wst
2013-05-15:new"
wal;"Writer of added lyrics";;;;;"A writer of words added to an expression of a musical work. For lyric writing in collaboration with a composer to form an original work, see lyricist";;"2014-02-05:Made subproperty of new wst
2013-05-15:new"
wam;"Writer of accompanying material";;;;;"A person or organization who writes significant material which accompanies a sound recording or other audiovisual material";;"2013-05-15:modified
1970-01-01:new"
wat;"Writer of added text";;;;;"A person, family, or organization contributing to a non-textual resource by providing text for the non-textual work (e.g., writing captions for photographs, descriptions of maps).";;"2014-02-05:Made subproperty of new wst
2013-05-15:new"
wdc;Woodcutter;;;;;"A person or organization who makes prints by cutting the image in relief on the plank side of a wood block";;"2013-05-15:modified
1970-01-01:new"
wde;"Wood engraver";;;;;"A person or organization who makes prints by cutting the image in relief on the end-grain of a wood block";;"2013-05-15:modified
1970-01-01:new"
win;"Writer of introduction";;;;;"A person, family, or organization contributing to a resource by providing an introduction to the original work";;"2014-02-05:Added in RDA and MARC
2013-05-15:new"
wit;Witness;;;;;"voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice overs in radio and television commercials, dubbed resources, etc.";;"2013-05-15:modified
1970-01-01:new"
;Deponent;wit;;;;;;
;Eyewitness;wit;;;;;;
;Observer;wit;;;;;;
;Onlooker;wit;;;;;;
;Testifier;wit;;;;;;
wpr;"Writer of preface";;;;;"A person, family, or organization contributing to a resource by providing a preface to the original work";;"2014-02-05:Added in RDA and MARC
2013-05-15:new"
wst;"Writer of supplementary textual content";;;;;"A person, family, or organization contributing to a resource by providing supplementary textual content (e.g., an introduction, a preface) to the original work";;"2014-02-05:Added in RDA and MARC
2013-05-15:new"
