# ------------------------------------------------------------------------------
# This file is part of a Docalist plugin.
#
# Copyright (C) 2012-2015 Daniel Ménard
#
# For copyright and license information, please view the
# LICENSE file that was distributed with this source code.
#
# @author Daniel Ménard <daniel.menard@laposte.net>
# ------------------------------------------------------------------------------
#
# ------------------------------------------------------------------------------
# marc21-relators_fr.txt
#
# Ne pas modifier directement cette table, utiliser le fichier de travail ODS
# qui figure dans ../not-used.
#
# Initiallement, ce fichier était basé sur les données disponibles sur la page 
# http://www.lac-bac.gc.ca/marc/040010-220-f.html
#
# Depuis, de nombreuses erreurs ont été corrigées et la majorité des libellés
# et des descriptions ont été ré-écrits (traduction humaine, pas de traduction
# automatique !).
#
# Date de génération : 14/03/2014 17:30:45
# Historique :
# - 18/03/14, DM Ajout des codes win et wpr qui figurent dans la version en 
#                anglais, traduction des libellés et des définitions.
# - 18/03/14, DM Correction des codes ctb (contributeur) et clb (collaborateur).
#                Le code clb est maintenant deprecated (use ctb).
# - 26/09/14, DM On avait deux fois la ligne ctb.
#                (https://github.com/daniel-menard/prisme/issues/189)
# - 04/03/15, DM Remaniement complet de la table
#             - travail effectué du 18/02 au 04/03
#             - tri dans le même ordre que la table EN pour pouvoir comparer
#             - création du fichier de travail ODS
#             - traduction manuelle de tous les libellés/descriptions (plusieurs
#               des traductions d'origine étaient incompréhensibles ou 
#               inutilement compliquées)
#             - ajout de tous les codes ajoutés en 2014 dans la table EN et qui
#               ne figuraient pas encore dans la table FR 
#               (https://github.com/daniel-menard/prisme/issues/166)
#             - traduction des libellés et des descriptions des nouveaux codes
#             - correction de nombreuses erreurs (le fichier ODS permet de les 
#               détecter) : libellés en double, sens différent de ce que disait 
#               la table EN, non-descripteur sans USE, etc.)
#             - Au final, au 04/03/15 la table FR est parfaitement synchro
#               avec la table EN.
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HS
fds;Distributeur du film;;;;;Une personne, un groupe ou un organisme qui assure la distribution d'un film dans les salles ou d'autres canaux de distribution.;;2013-05-15:new
fld;Directeur de terrain;;;;;Une personne ou un organisme qui gère ou supervise le travail de collecte de données brutes ou fait de la recherche dans le milieu ou dans l'environnement à sa disposition (s'applique notamment en sciences sociales et en science naturelle).;;"2013-05-15:modified
1970-01-01:new"
flm;Monteur de films;;;;;Une personne qui, en suivant le script et de concert avec le réalisateur, sélectionne, organise et assemble les scènes d'un film, vérifie la synchronisation de l'image et du son et participe à d'autres tâches de post-production telles que le mixage du son et le traitement des effets spéciaux. De nos jours le travail de montage est très souvent effectué en numérique.;Changed MARC def (FIAF);"2013-05-15:modified
1970-01-01:new"
;Monteur d'images animées;flm;;;;;;
fmd;Réalisateur du film;;;;;Un réalisateur responsable de la gestion générale et de la supervision d'une performance filmée.;;2013-05-15:new
fmk;Cinéaste;;;;;Une personne, un groupe ou un organisme responsable de la création d'un film indépendant ou personnel. Un cinéaste est responsable personnellement de la conception et de la création de tous les aspects du film.;;2013-05-15:new
fmo;Ancien propriétaire;;;;;Une personne, un groupe ou un organisme qui était auparavant le détenteur légal d'une œuvre.;"Changed MARC def; in RDA associated with Owner (element) which is broader than MARC owner (which means current owner)";"2013-05-15:modified
1970-01-01:new"
fmp;Producteur du film;;;;;Un producteur responsable de la plupart des aspects commerciaux d'un film.;;2013-05-15:new
fnd;Bailleur de fonds;;;;;Une personne ou un organisme qui apporte un soutien financier à la production d'une œuvre.;;"2013-05-15:modified
1970-01-01:new"
fpy;D'une part;;;;;"Une personne ou un organisme nommé dans la section ""d'une part"" dans le chapitre ""désignation des parties"" d'un contrat. Dans le cas d'un contrat de transfert de droits, il peut s'agir du cédant, du vendeur, du détenteur de licence, du bailleur, etc. Plusieurs entités peuvent être présentées comme constituant une même partie.";;"2013-05-15:modified
1970-01-01:new"
frg;Faussaire;;;;;Une personne ou une organisation qui fait ou imite quelque chose de valeur ou d'importance, avec l'intention de frauder,;;"2013-05-15:modified
1970-01-01:new"
;Contrefacteur;frg;;;;;;
;Falsificateur;frg;;;;;;
gis;Spécialiste de l'information géographique;;;;;Une personne responsable du développement et de l'intégration d'un système d'information géographique (SIG) avec les données provenant d'un système de positionnement global.;;"2013-05-15:modified
1970-01-01:new"
;Spécialiste de l'information géospatiale;gis;;;;;;
his;Institution hôte;;;;;Un organisme qui accueille un événement, une exposition, une conférence, etc., qui a donné lieu à un document, mais ayant peu ou aucune responsabilité concernant le contenu de ce document.;;"2014-02-05:Altered definition
2013-05-15:new"
hnr;Personne honorée;;;;;Une personne, un groupe ou un organisme mis à l'honneur dans un travail ou un document (par exemple le sujet d'une commémoration, une personne à la mémoire ou en l'honneur de qui un livre ou un manuscrit a été fait, etc.);"Changed MARC def; combines RDA honoree and honoree of item";"2013-05-15:modified
1970-01-01:new"
;Personne mise à l'honneur;hnr;;;;;;
;Lauréat;hnr;;;;;;
hst;Animateur;;;;;Une personne qui anime régulièrement une émission (de radio, de télévision, etc.), à laquelle participent des invités, des artistes, etc. (par exemple l'animateur d'une émission de variétés).;;"2013-05-15:modified
1970-01-01:new"
ill;Illustrateur;;;;art;Une personne, un groupe ou un organisme qui contribue à une œuvre en l'agrémentant de dessins, de diagrammes, de photographies, etc. Si le travail artistique constitue l'essentiel de l'œuvre, utilisez plutôt artiste (art) ou photographe (pht).;Changed MARC def;"2014-02-04:Altered definition
2013-05-15:modified
1970-01-01:new"
ilu;Enlumineur;;;;;Une personne qui décore un ouvrage en utilisant des métaux précieux ou de la couleur, souvent avec des motifs et des dessins élaborés.;;"2013-05-15:modified
1970-01-01:new"
ins;Auteur d'une mention de représentation;;;;;Une personne qui signe une mention de représentation (dédicace, présent, etc.);Changed MARC def;"2013-05-15:modified
1970-01-01:new"
inv;Inventeur;;;;;Une personne, un groupe ou un organisme qui a créé une nouvelle machine ou inventé un nouveau procédé.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
;Inventeur du brevet;inv;;;;;;
isb;Organisme agréé;;;;;Groupe ou organisme officiel chargé de délivrer une œuvre au public (une agence de l'État par exemple).;;"2014-02-05:Altered definition
2013-05-15:new"
itr;Instrumentiste;;;;;Une personne qui contribue à une œuvre en jouant d'un d'un instrument de musique.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
ive;Interviewé;;;;;Personne, groupe ou organisme qui contribue à une œuvre en répondant aux questions d'un interviewer (reporteur, enquêteur ou toute autre personne qui collecte de l'information).;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
ivr;Interviewer;;;;;Personne, groupe ou organisme qui créée ou contribue à une œuvre en faisant des interviews (reporteur, enquêteur ou toute autre personne qui collecte de l'information).;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
jud;Juge;;;;;Une personne qui écoute et tranche les litiges qui opposent les parties devant un tribunal.;;2013-05-15:new
jug;Juridiction régie;;;;;Une juridiction régie par une loi, un règlement, etc., qui a été adoptée par une autre juridiction.;;2013-05-15:new
lbr;Laboratoire;;;;;Un organisme qui procède à des analyses scientifiques sur des échantillons de produits.;;"2013-05-15:modified
1970-01-01:new"
lbt;Librettiste;;;;;L'auteur d'un livret d'un opéra, d'un oratorio, etc.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
ldr;Directeur de laboratoire;;;;;Une personne ou un organisme qui gère ou supervise le travail accompli dans un cadre ou un environnement contrôlés.;;"2013-05-15:modified
1970-01-01:new"
;Directeur de labo;ldr;;;;;;
led;Responsable;;;;;Une personne ou un organisme qui endosse la responsabilité d'une activité particulière ou d'un effort.;;"2013-05-15:modified
1970-01-01:new"
lee;Partie adverse-intimé;;;;;La partie adverse visée par un appel interjeté à l'égard de la décision d'un tribunal ecclésiastique ou maritime, en vue de son infirmation, devant une instance supérieure.;;"2013-05-15:modified
1970-01-01:new"
lel;Partie adverse;;;;;Terme utilisé pour désigner la partie visée par l'acte introductif d'instance dont est saisi un tribunal ecclésiastique ou une cour de l'Amirauté.;;"2013-05-15:modified
1970-01-01:new"
len;Prêteur;;;;;Une personne ou une organisme autorisant l'emprunt d'un livre, d'un manuscrit, etc. par exemple pour le photocopier ou le microfilmer.;;"2013-05-15:modified
1970-01-01:new"
let;Partie adverse-appelant;;;;;Terme utilisé pour désigner la partie adverse qui en appelle de la décision d'un tribunal ecclésiastique ou maritime, en vue de son infirmation, devant une instance supérieure.;;"2013-05-15:modified
1970-01-01:new"
lgd;Éclairagiste;;;;;Une personne ou un organisme qui conçoit les éclairages pour une représentation théâtrale, un spectacle, un film, etc.;;"2013-05-15:modified
1970-01-01:new"
lie;Requérant-intimé;;;;;Terme utilisé pour désigner le requérant visé par un appel interjeté à l'égard de la décision d'un tribunal ecclésiastique ou maritime, en vue de son infirmation, devant une instance supérieure.;;"2013-05-15:modified
1970-01-01:new"
lil;Requérant;;;;;Terme utilisé pour désigner la partie qui produit un plainte dans une affaire ecclésiastique ou relative à l'amirauté.;;"2013-05-15:modified
1970-01-01:new"
lit;Requérant-appelant;;;;;Terme utilisé pour désigner le requérant qui en appelle de la décision d'un tribunal ecclésiastique ou maritime, en vue de son infirmation, devant une instance supérieure.;;"2013-05-15:modified
1970-01-01:new"
lsa;Architecte-paysagiste;;;;;Un architecte dont les tâches consistent à concevoir et à coordonner l'aménagement d'un terrain et l'intégration des structures existantes ou proposées.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
lse;Porteur de licence;;;;;Terme utilisé pour désigner la première personne qui obtient le droit d'imprimer ou de publier.;;"2013-05-15:modified
1970-01-01:new"
lso;Donneur de licence;;;;;Terme utilisé pour désigner le signataire d'un brevet, d'un imprimatur, etc.;;"2013-05-15:modified
1970-01-01:new"
;Imprimatur;lso;;;;;;
ltg;Lithographe;;;;;Terme utilisé pour désigner toute personne qui apprête de la pierre ou une planche pour faire une impression lithographique, y compris le graphiste qui exécute un dessin en travaillant directement sur la surface qui servira à l'impression.;;"2013-05-15:modified
1970-01-01:new"
lyr;Parolier;;;;;L'auteur des paroles d'une chanson.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
mcp;Copiste de musique;;;;;Une personne qui transcrit ou recopie des partitions de musique.;;"2013-05-15:modified
1970-01-01:new"
mdc;Agent de liaison sur les métadonnées;;;;;Une personne ou un organisme responsable de la compilation et de la maintenance de la description d'un ensemble de données (par exemple un ensemble de métadonnées géospatiales).;;"2013-05-15:modified
1970-01-01:new"
med;Médium;;;;;Une personne supposée être capable de communiquer entre le monde terrestre et le monde des esprits.;;"2014-02-05:Added in RDA and MARC
2013-05-15:new"
mfp;Lieu de fabrication;;;;;Le lieu de fabrication (impression, duplication, fonderie, etc.) d'une ressource sous sa forme publiée.;;"2013-05-15:modified
1970-01-01:new"
mfr;Fabricant;;;;;Une personne ou un organisme responsable de l'impression, la duplication, la fonderie, etc. d'une œuvre.;;"2013-05-15:modified
1970-01-01:new"
mod;Animateur de débat;;;;;Une personne qui anime une émission (radio, télévision, etc.) où l'on discute de différents sujets, en général avec la participation d'experts de domaines liés au sujet de discussion.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
mon;Autorité de contrôle;;;;;Une personne ou un organisme qui veille au respect d'un contrat et élabore des documents dont elle contrôle la distribution.;;"2013-05-15:modified
1970-01-01:new"
mrb;Marbreur;;;;;L'entité responsable de la marbrure du papier, du tissu, du cuir, etc. utilisé pour la fabrication de l'œuvre.;;"2013-05-15:modified
1970-01-01:new"
mrk;Éditeur de langage balisé;;;;;Une personne ou un organisme qui effectue le codage de textes, de métadonnées ou d'autres document en SGML, HTML ou en XML.;;"2013-05-15:modified
1970-01-01:new"
;Langage balisé, Éditeur de;mrk;;;;;;
msd;Directeur musical;;;;;Une personne qui coordonne le travail du compositeur, du preneur de son et de l'arrangeur lors de la production d'un film, une représentation musicale ou théâtrale, un spectacle.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
mte;Graveur sur métal;;;;;Un graveur qui effectue les dessins, les illustrations, les lettres, etc. qui sont gravées sur une surface métallisée dans un but d'impression ou de décoration.;;"2013-05-15:modified
1970-01-01:new"
mtk;Auteur du compte-rendu;;;;;Une personne, un groupe ou un organisme responsable du compte-rendu d'une réunion.;;"2014-02-06:Added in RDA and MARC
2013-05-15:new"
mus;Musicien;;;;;Une personne ou un organisme qui joue de la musique ou qui contribue au contenu musical d'une œuvre lorsqu'il est impossible ou qu'il n'est pas souhaitable d'indiquer la fonction de manière plus précise;;"2013-05-15:modified
1970-01-01:new"
nrt;Narrateur;;;;;Une personne qui relate oralement les détails d'un acte, d'un événement ou d'une suite d'événements.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
opn;Opposant;;;;;Une personne ou un organisme dont la tâche consiste à s'opposer à une thèse ou un mémoire.;;"2013-05-15:modified
1970-01-01:new"
org;Initiateur;;;;;Une personne ou un organisme qui exécute le travail et qui est associé associé au contenu intellectuel de l'œuvre. Cette catégorie n'inclut pas l'éditeur ou autres affiliations, ni les commanditaires sauf dans le cas ou il sont considérés en tant qu'auteurs collectifs.;;"2014-02-06:added to RDA
2014-02-06:Changed MARC term and definition
2013-05-15:modified
1970-01-01:new"
orm;Organisateur;;;;;Une personne, un groupe ou un organisme chargé d'organiser l'exposition, l'événement, la conférence, etc. qui a donné lieu au document.;changed MARC term and def;2013-05-15:new
;Organisateur de la rencontre;orm;;;;;;
osp;Présentateur;;;;;Une personne qui apparaît à l'écran pour présenter un documentaire ou le contexte général ou historique d'une fiction. Terme générique à utiliser si vous ne souhaitez pas employer un terme plus spécifique comme narrateur (nrt), présentateur (hst), etc.;;2013-05-15:new
oth;Autre;;;;;Autre rôle;;"2013-05-15:modified
1970-01-01:new"
own;Propriétaire;;;;;Une personne, un groupe ou un organisme à qui appartient légalement un document ou une collection.;Combined defs;"2014-02-05:Altered definition
2013-05-15:modified
1970-01-01:new"
;Détenteur actuel;own;;;;;;
pan;Participant;;;;;Une personne qui participe à un programme (souvent une émission) dans laquelle des sujets sont discutés, en général aux côtés d'experts du domaine.;;2013-05-15:new
pat;Mécène;;;;;Une personne ou un organisme qui encourage financièrement la création d'un œuvre. En général, un mécène utilise son influence pour soutenir le travail des artistes, des écrivains, etc. Cela inclut les mécènes qui commandent des œuvres individuelles et qui paient pour ces dernières.;;"2013-05-15:modified
1970-01-01:new"
pbd;Directeur de la publication;;;;;Une personne ou un organisme qui dirige l'élaboration d'une œuvre collective afin de s'assurer de sa cohésion ou de sa continuité. Ce code couvre les rédacteurs en chef, les directeurs d'œuvres littéraires, les responsables de collections, etc.;;"2013-05-15:modified
1970-01-01:new"
pbl;Éditeur;;;;;Une personne ou un organisme chargé de la publication, la diffusion ou la parution d'une œuvre.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
pdr;Directeur de projet;;;;;Une personne ou un organisme qui est responsable des aspects fondamentaux d'un projet, qui assure la gestion générale d'un projet ou qui définit l'orientation générale d'un projet.;;"2013-05-15:modified
1970-01-01:new"
pfr;Correcteur d'épreuves;;;;crr;Une personne qui corrige des textes imprimés. Utilisez le code [crr] Réviseur dans le cas des manuscript.;;"2013-05-15:modified
1970-01-01:new"
pht;Photographe;;;;;Une personne ou un organisme chargé de prendre des photographies.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
plt;Clicheur;;;;;Une personne, un groupe ou un organisme chargé de fabriquer ou d'utiliser des plaques en relief utilisées pour l'impression de dessins ou de texte.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
pma;Agence de réglementation;;;;;Un organisme (souvent une agence gouvernementale) qui délivre les autorisations nécessaires à la réalisation d'un travail.;;"2013-05-15:modified
1970-01-01:new"
pmn;Directeur de production;;;;;Une personne responsable des aspects techniques et commerciaux d'une production.;;"2013-05-15:modified
1970-01-01:new"
pop;Imprimeur de planches;;;;;Une personne ou un organisme qui imprime des illustrations à partir de planches.;;"2013-05-15:modified
1970-01-01:new"
;Planches, Imprimeur de;pop;;;;;;
ppm;Papetier;;;;;Une personne ou un organisme qui produit du papier, en général à partir de bois, de tissus ou d'autres matériaux à base de fibres.;;"2013-05-15:modified
1970-01-01:new"
ppt;Marionnettiste;;;;;Une personne qui contribue à une œuvre en en manipulant, en contrôlant, ou en dirigeant des pantins ou des marionnettes dans un film, dans une représentation musicale ou théâtrale ou lors d'un spectacle.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
pra;Présidence;;;;;"Une personne qui préside et modère une discussion académique, assez souvent en proposant un point de vue et en participant aux discussions qui s'ensuivent (""sous la présidence de..."").";;2013-05-15:new
prc;Agent de liaison du processus;;;;;Une personne ou un organisme responsable de la réalisation ou du déclenchement d'un processus effectué sur un ensemble de données.;;"2013-05-15:modified
1970-01-01:new"
prd;Personnel de la réalisation;;;;;Une personne qui gère les accessoires, l'éclairage, les effets spéciaux, etc. lors d'une représentation musicale ou théâtrale, un spectacle, etc.;;"2013-05-15:modified
1970-01-01:new"
pre;Crédité au générique;;;;;"Une personne ou un organisme mentionné dans le générique d'un film ou d'une vidéo sous la forme ""X présente"" et qui est associé d'une façon ou d'une autre à la production, aux finances, ou à la distribution du film (""crédit de vanité"", studio de production).";includes one sentence from FIAF def;2013-05-15:new
prf;Interprète;;;;;Une personne qui contribue à une œuvre en tant que musicien, acteur, danseur, orateur, etc. en général dans une représentation musicale ou théâtrale, etc. Si des termes spécifiques sont utilisés par ailleurs, Interprète est utilisé pour des personnes dont le talent principal n'est pas indiqué.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
prg;Programmeur;;;;;Une personne ou un organisme responsable de la création d'un logiciel.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
prm;Graveur (arts visuels);;;;;Une personne ou un organisme qui crée une surface d'impression en relief, en creux ou à plat.;;"2013-05-15:modified
1970-01-01:new"
prn;Société de production;;;;;Un organisme qui est responsable de la gestion financière, technique et organisationnelle d'une production : scène, écran, enregistrement audio, télévision, webcast, etc.;;"2014-02-04:Altered definition
2013-05-15:new"
pro;Producteur;;;;;Une personne, un groupe ou un organisme responsable de la plupart des aspects commerciaux liés à la production d'un film, d'une émission de radio, de télévision, etc. Le producteur est en général responsable du financement, de la gestion de la production, de l'embauche des personnes clés, de l'organisation de la distribution, etc.;Changed MARC def;"2014-02-04:Altered definition
2013-05-15:modified
1970-01-01:new"
prp;Lieu de production;;;;;Le lieu de production d'une œuvre non publiée (par exemple l'endroit ou elle a été créée, fabriquée, construite, etc.;;"2013-05-15:modified
1970-01-01:new"
prs;Architecte décorateur;;;;;Une personne ou un organisme responsable de l'ensemble des aspects visuels d'un film.;;2013-05-15:new
prt;Imprimeur;;;;;Une personne, un groupe ou un organisme ou tout organisme impliqué dans la reproduction d'un texte imprimé, d'une partition de musique, etc. à partir d'une épreuve ou de planches : livres, journaux, magazines, posters, partitions, etc.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
prv;Fournisseur;;;;;Une personne ou un organisme qui produit, édite, fabrique ou distribue une ressource. Terme générique à utiliser si vous ne souhaitez pas employer un terme plus spécifique comme fabriquant (mfr), éditeur (pbl), etc.;;"2013-05-15:modified
1970-01-01:new"
pta;Demandeur de brevet;;;;;Une personne ou un organisme qui présente une demande de brevet.;;"2013-05-15:modified
1970-01-01:new"
pte;Demandeur-intimé;;;;;Le demandeur visé par un appel interjeté à l'égard de la décision d'un tribunal ou d'une juridiction, en vue de son infirmation, devant une instance supérieure, habituellement dans le cadre d'une procédure prévue par la loi.;;"2013-05-15:modified
1970-01-01:new"
ptf;Demandeur;;;;;Une personne ou un organisme qui engage des poursuites dans une procédure au civil.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
pth;Titulaire de brevet;;;;;Une personne ou un organisme à qui a été accordé le brevet auquel se réfère le document.;;"2013-05-15:modified
1970-01-01:new"
;Détenteur du brevet;pth;;;;;;
ptt;Demandeur-appelant;;;;;Le demandeur qui en appelle de la décision d'un tribunal ou d'une juridiction, en vue de son infirmation, devant une instance supérieure, habituellement dans le cadre d'une procédure prévue par la loi.;;"2013-05-15:modified
1970-01-01:new"
pup;Lieu de publication;;;;;L'endroit où une ressource est publiée.;;"2013-05-15:modified
1970-01-01:new"
rbr;Rubricateur;;;;;Dans un manuscrit (médiéval, par exemple), une personne ou un organisme responsable de certaines parties de l'œuvre (souvent les titres et les textes introductifs du manuscrit) qui apparaissent avec une couleur distinctive, en général en rouge.;;"2013-05-15:modified
1970-01-01:new"
rcd;Opérateur d'enregistrement;;;;;Une personne ou un organisme qui utilise un dispositif d'enregistrement pour capturer les sons et/ou la vidéo pendant une session d'enregistrement, y compris les enregistrements sur le terrain de sons naturels, manifestations folkloriques, musiques, etc.;;"2013-05-15:modified
1970-01-01:new"
rce;Ingénieur du son;;;;;Une personne qui contribue à une œuvre en supervisant les aspects techniques d'une séance d'enregistrement sonore ou vidéo.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
rcp;Destinataire;;;;;Une personne, un groupe ou un organisme à qui la correspondance mentionnée dans l'œuvre est adressée.;changed MARC term and def;"2014-02-05:Altered definition
2013-05-15:modified
1970-01-01:new"
;Récipiendaire ;rcp;;;;;;
rdd;Réalisateur radio;;;;;Un réalisateur responsable de la gestion générale et de la supervision d'un programme radio.;;2013-05-15:new
red;Rédacteur;;;;;Une personne ou un organisme qui écrit ou rédige un article sans être responsable intellectuellement de son contenu,;;"2013-05-15:modified
1970-01-01:new"
ren;Perspectiviste;;;;;Une personne ou un organisme qui produit une vue réaliste, en perspective d'un projet architectural (le rendu) pour montrer ce à quoi le projet ressemblera une fois terminé.;;"2013-05-15:modified
1970-01-01:new"
res;Chercheur;;;;;Une personne ou un organisme en charge de travaux de recherche.;;"2013-05-15:modified
1970-01-01:new"
;Investigateur;res;;;;;;
rev;Critique;;;;;Une personne ou un organisme responsable de la critique d'un livre, d'un film, d'une représentation, etc.;;"2013-05-15:modified
1970-01-01:new"
rpc;Producteur radio;;;;;Un producteur responsable de la plupart des aspects commerciaux d'une émission de radio.;;2013-05-15:new
rps;Service d'archives;;;;;Un organisme qui stocke des données ou des biens culturels et assure la pérennité, la préservation et l'accès à ces données ou à ces biens.;;"2013-05-15:modified
1970-01-01:new"
rpt;Journaliste;;;;;Une personne ou un organisme qui écrit, fait un reportage ou présente des actualités dans une émission ou un média imprimé.;;"2013-05-15:modified
1970-01-01:new"
rpy;Responsable éditorial;;;;;Une personne ou un organisme légalement responsable du contenu d'une œuvre publiée.;;"2013-05-15:modified
1970-01-01:new"
rse;Répondant-intimé;;;;;Le répondant visé par l'appel interjeté à l'égard d'un tribunal ou d'une juridiction, en vue de son infirmation, devant une instance supérieure, habituellement dans le cadre d'une procédure fondée sur l'équité.;;"2013-05-15:modified
1970-01-01:new"
rsg;Metteur en scène de la reprise;;;;;Une personne ou un organisme, autre que le chorégraphe ou le réalisateur, responsable de la mise en scène d'une œuvre chorégraphique ou théâtrale mais qui intervient assez peu sur le contenu.;;"2013-05-15:modified
1970-01-01:new"
rsp;Répondant;;;;;Une personne ou un organisme qui apporte une réponse dans une procédure de redressement (en général dans le cadre d'une procédure fondée sur l'équité) ou le candidat à un diplôme qui défend ou s'oppose à la thèse officielle dans une dispute académique.;;"2013-05-15:modified
1970-01-01:new"
rsr;Restaurateur;;;;;Une personne, un groupe ou un organisme responsable des procédures intellectuelles et techniques visant à compenser la dégradation d'une œuvre en la ramenant à un état aussi proche que possible de son état d'origine.;;2013-05-15:new
rst;Répondant-appelant;;;;;Le répondant qui en appelle de la décision d'un tribunal ou d'une juridiction, en vue de son infirmation, devant une instance supérieure, habituellement dans le cadre d'une procédure fondée sur l'équité.;;"2013-05-15:modified
1970-01-01:new"
rth;Directeur de recherche;;;;;Une personne responsable de la direction et de la gestion d'un projet de recherche.;;"2013-05-15:modified
1970-01-01:new"
rtm;Membre de l'équipe de recherche;;;;;Une personne ayant pris part à un projet de recherche, mais dont le rôle ne consistait pas à le diriger ou à le gérer.;;"2013-05-15:modified
1970-01-01:new"
sad;Conseiller scientifique;;;;;Une personne ou un organisme qui apporte des compétences scientifiques, pédagogiques ou historiques à la conception et à la réalisation d'un travail, en particulier dans le cas d'une œuvre audiovisuelle.;;"2013-05-15:modified
1970-01-01:new"
sce;Scénariste;;;;aus;Une personne ou un organisme auteur du scénario d'un film, souvent la personne qui a écrit le script.;Revised MARC def;"2013-05-15:modified
1970-01-01:new"
scl;Sculpteur;;;;;Un artiste qui a créé un objet par modelage, en sculptant ou en utilisant une technique similaire.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
scr;Scribe;;;;fac;Un secrétaire qui écrit à la main ce qu'on lui dicte pour produire un manuscrit. Pour désigner une personne qui recopie à la main un manuscrit existant, utilisez copiste (fac).;;"2013-05-15:modified
1970-01-01:new"
sds;Concepteur du son;;;;;Une personne qui crée ou reproduit une ambiance sonore (en direct ou enregistrée), installe les micros, ajuste les niveaux sonores et combine les sons pour une production.;;"2013-05-15:modified
1970-01-01:new"
sec;Secrétaire;;;;;Une personne ou un organisme qui agit en tant que secrétaire ou rédacteur ou toute personne qui exprime les vues d'un groupe.;;"2013-05-15:modified
1970-01-01:new"
sgd;Metteur en scène;;;;;Une personne ou un organisme qui contribue à une œuvre scénique en assurant la direction générale et la supervision d'une performance.;;2013-05-15:new
sgn;Signataire;;;;;Une personne dont la signature apparaît mais sans aucun texte ni indication de provenance. Lorsqu'il y a une indication, utilisez Auteur d'une mention de représentation (ins).;;"2013-05-15:modified
1970-01-01:new"
sht;Organisme de soutien;;;;;Une personne ou un organisme qui soutient (en fournissant des équipements, du personnel ou d'autres ressources) un projet, un programme, une rencontre, un événement ou toute autre activité susceptible d'être soutenue.;;"2013-05-15:modified
1970-01-01:new"
;Personne de soutien;sht;;;;;;
sll;Vendeur;;;;;Le propriétaire précédent d'une œuvre qui a été vendue à quelqu'un d'autre.;;2013-05-15:new
sng;Chanteur;;;;;Une personne qui contribue à une œuvre en utilisant sa voix, avec ou sans accompagnement instrumental, pour produire de la musique. Le chanteur, lors de sa prestation, peut ou non employer des mots réels.;"Changed MARC def; Vocalist is deprecated and made reference";"2013-05-15:modified
1970-01-01:new"
;Vocaliste;sng;;;;;;
spk;Intervenant;;;;;Une personne qui contribue à une œuvre oralement, par exemple pour une conférence, un discours, etc.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
spn;Commanditaire;;;;;Une personne, un groupe ou un organisme qui parraine certains aspects d'un travail (par exemple : financement de la recherche, organisation d'événements, etc.);Changed MARC def;"2014-02-05:Altered definition
2013-05-15:modified
1970-01-01:new"
;Organisme de parrainage;spn;;;;;;
spy;D'autre part;;;;;"Une personne ou un organisme nommé dans la section ""d'autre part"" dans le chapitre ""désignation des parties"" d'un contrat. Dans le cas d'un contrat de transfert de droits, il peut s'agir du cessionnaire, de l'acquéreur, du licencié, du bénéficiaire, etc. Plusieurs entités peuvent être présentées comme constituant une même partie.";;"2013-05-15:modified
1970-01-01:new"
srv;Arpenteur;;;;;Une personne, un groupe ou un organisme qu icontribue à une œuvre en effectuant les mesures et les relevés topographiques de l'aire géographique représentée.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
std;Décorateur de scène;;;;;Une personne qui traduit les ébauches du directeur artistique en de véritables structures architecturales pour une représentation théâtrale, un spectacle, un film, etc. Les décorateurs de scène fournissent les indications détaillés et les spécifications servant à monter la scène.;;"2013-05-15:modified
1970-01-01:new"
stg;Contexte;;;;;Le contexte dans lequel l'action ou l'intrigue se déroule, par exemple, un lieu géographique, une période de temps, un bâtiment, un événement...;Subject relationship;"2013-05-15:modified
1970-01-01:new"
stl;Conteur;;;;;Une personne qui contribue à une œuvre en relatant l'histoire originale de l'auteur en lui donnant une interprétation théâtrale ou autre.;Changed MARC def;"2013-05-15:modified
1970-01-01:new"
